state,zip,electric,gas,oil,wood
Alabama,36104,142.17,40.41,3.40,50.00
Alaska,99801,78.59,11.11,3.82,50.00
Arizona,85001,137.14,19.51,3.55,50.00
Arkansas,72201,126.69,42.65,2.61,50.00
California,95814,96.72,36.01,4.76,50.00
Colorado,80202,104.60,30.25,2.53,50.00
Connecticut,06103,113.94,53.84,3.80,50.00
Delaware,19901,142.23,60.55,3.42,50.00
Florida,32301,144.45,15.68,4.67,50.00
Georgia,30303,121.10,52.26,3.07,50.00
Hawaii,96813,118.03,9.44,4.87,50.00
Idaho,83702,92.90,35.80,2.78,50.00
Illinois,62701,124.51,52.87,2.14,50.00
Indiana,46225,116.19,64.32,2.60,50.00
Iowa,50309,106.04,35.11,1.94,50.00
Kansas,67207,117.88,54.14,2.09,50.00
Kentucky,40601,127.54,38.56,2.56,50.00
Louisiana,70802,134.17,21.59,3.04,50.00
Maine,04330,79.08,30.51,3.34,50.00
Maryland,21401,184.69,27.42,3.44,50.00
Massachusetts,02201,75.51,46.97,3.54,50.00
Michigan,48933,105.49,58.55,2.47,50.00
Minnesota,55102,97.45,45.24,2.22,50.00
Mississippi,39205,124.91,41.70,3.12,50.00
Missouri,65101,101.47,35.55,2.35,50.00
Montana,59623,81.27,31.38,2.43,50.00
Nebraska,68502,99.15,47.07,1.90,50.00
Nevada,89701,186.00,40.00,4.24,50.00
New Hampshire,03301,88.89,50.95,3.77,50.00
New Jersey,08608,144.77,46.28,3.36,50.00
New Mexico,87501,136.00,25.55,3.26,50.00
New York,12207,102.73,32.55,3.41,50.00
North Carolina,27601,130.14,39.46,3.31,50.00
North Dakota,58501,97.39,41.05,1.95,50.00
Ohio,43215,108.93,55.99,2.72,50.00
Oklahoma,73102,115.94,45.72,2.56,50.00
Oregon,97301,96.21,30.01,3.88,50.00
Pennsylvania,17101,115.90,33.49,2.98,50.00
Rhode Island,2903,126.00,126.00,3.64,50.00
South Carolina,29217,172.86,23.11,3.32,50.00
South Dakota,57501,115.68,58.99,2.14,50.00
Tennessee,37219,132.00,38.43,3.27,50.00
Texas,78701,140.81,29.37,2.92,50.00
Utah,84111,89.75,60.94,2.67,50.00
Vermont,05602,79.60,43.35,3.42,50.00
Virginia,23219,141.81,38.09,3.37,50.00
Washington,98507,100.95,21.49,4.21,50.00
West Virginia,25301,127.12,37.57,3.09,50.00
Wisconsin,53703,99.01,41.26,2.17,50.00
Wyoming,82001,101.46,56.24,3.42,50.00
Washington DC,20001,94.79,52.34,3.37,50.00
